,Year,Tm,Player,Age,G,MP,PER
8055,2001,SAS,Sean Elliott,32,52,1229,12.4
8056,2001,SAC,Jon Barry,31,62,1010,12.4
8057,2002,LAC,Michael Olowokandi,26,80,2568,12.4
8058,2002,CHH,Bryce Drew,27,61,774,12.4
8059,2002,HOU,Tierre Brown,22,40,403,12.4
8060,2003,DET,Clifford Robinson,36,81,2825,12.4
8061,2003,IND,Al Harrington,22,82,2467,12.4
8062,2003,LAL,Robert Horry,32,80,2343,12.4
8063,2003,TOR,Jelani McCoy,25,67,1367,12.4
8064,2003,UTA,Scott Padgett,26,82,1321,12.4
8065,2003,SAC,Jim Jackson,32,63,1309,12.4
8066,2003,LAC,Tremaine Fowlkes,26,37,573,12.4
8067,2003,MIA,Sean Lampley,23,35,487,12.4
8068,2003,ATL,Nazr Mohammed,25,35,445,12.4
8069,2003,DAL,Tariq Abdul-Wahad,28,14,204,12.4
8070,2004,CHI,Scottie Pippen,38,23,412,12.4
8071,2004,TOR,Jerome Williams,30,15,407,12.4
8072,2004,CHI,Lonny Baxter,25,14,147,12.4
8073,2004,HOU,Alton Ford,22,9,41,12.4
8074,2005,CLE,Jeff McInnis,30,76,2651,12.4
8075,2005,DAL,Alan Henderson,32,78,1203,12.4
8076,2005,CHI,Eric Piatkowski,34,68,841,12.4
8077,2005,POR,Richie Frahm,27,43,499,12.4
8078,2006,UTA,Deron Williams,21,80,2307,12.4
8079,2006,NYK,Qyntel Woods,24,49,1013,12.4
8080,2006,CHA,Keith Bogans,25,39,848,12.4
8081,2006,PHO,Tim Thomas,28,26,634,12.4
8082,2006,POR,Charles Smith,30,21,208,12.4
8083,2007,MEM,Rudy Gay,20,78,2103,12.4
8084,2007,DEN,Joe Smith,31,11,148,12.4
8085,2008,NJN,Bostjan Nachbar,27,75,1660,12.4
8086,2008,SAS,Matt Bonner,27,68,853,12.4
8087,2008,CHI,Larry Hughes,29,28,810,12.4
8088,2008,CLE,Ben Wallace,33,22,578,12.4
8089,2008,DET,Juan Dixon,29,17,244,12.4
8090,2009,SAC,Bobby Jackson,35,71,1484,12.4
8091,2010,NOH,Peja Stojakovic,32,62,1947,12.4
8092,2010,LAL,Shannon Brown,24,82,1700,12.4
8093,2010,SAC,Jon Brockman,22,52,654,12.4
8094,2010,SAC,Francisco Garcia,28,25,575,12.4
8095,2010,ORL,Anthony Johnson,35,31,406,12.4
8096,2010,HOU,Tracy McGrady,30,6,46,12.4
8097,2011,SAS,Richard Jefferson,30,81,2459,12.4
8098,2011,DET,Ben Gordon,27,82,2131,12.4
8099,2011,ATL,Zaza Pachulia,26,79,1244,12.4
8100,2011,MIN,Martell Webster,24,46,1094,12.4
8101,2011,TOR,Reggie Evans,30,30,798,12.4
8102,2011,CHA,Derrick Brown,23,41,488,12.4
8103,2011,MEM,DeMarre Carroll,24,7,39,12.4
8104,2012,UTA,C.J. Miles,24,56,1145,12.4
8105,2012,CHA,D.J. White,25,58,1098,12.4
8106,2012,TOR,Linas Kleiza,27,49,1057,12.4
8107,2012,GSW,Charles Jenkins,22,51,893,12.4
8108,2012,CHA,Reggie Williams,25,33,747,12.4
8109,2012,BOS,Chris Wilcox,29,28,481,12.4
8110,2013,LAC,Caron Butler,32,78,1879,12.4
8111,2013,LAL,Earl Clark,25,59,1363,12.4
8112,2013,WAS,A.J. Price,26,57,1278,12.4
8113,2013,DAL,Dominique Jones,24,29,338,12.4
8114,2014,DEN,Wilson Chandler,26,62,1927,12.4
8115,2014,HOU,Patrick Beverley,25,56,1751,12.4
8116,2014,BRK,Andrei Kirilenko,32,45,857,12.4
8117,2014,NOP,Jason Smith,27,31,830,12.4
8118,2014,MIL,Caron Butler,33,34,821,12.4
8119,2014,NYK,Beno Udrih,31,31,588,12.4
8120,2014,MIA,Greg Oden,26,23,212,12.4
8121,2014,SAC,Jared Cunningham,22,8,58,12.4
8122,2015,ORL,Evan Fournier,22,58,1661,12.4
8123,2015,SAS,Marco Belinelli,28,62,1388,12.4
8124,2015,DAL,Rajon Rondo,28,46,1319,12.4
8125,2015,MIL,Kendall Marshall,23,28,417,12.4
8126,2015,DAL,Raymond Felton,30,29,281,12.4
8127,2016,LAC,Josh Smith,30,7,96,12.4
8128,1978,PHO,Don Buse,27,82,2547,12.5
8129,1978,HOU,Dwight Jones,25,82,2476,12.5
8130,1978,NYK,Jim McMillian,29,81,1977,12.5
8131,1978,IND,Len Elmore,25,69,1327,12.5
8132,1978,SEA,Wally Walker,23,68,1003,12.5
8133,1979,GSW,Clifford Ray,30,82,1917,12.5
8134,1979,GSW,Wayne Cooper,22,65,795,12.5
8135,1979,WSB,Dave Corzine,22,59,532,12.5
8136,1979,HOU,Jacky Dorsey,24,20,108,12.5
8137,1980,CHI,Ricky Sobers,27,82,2673,12.5
8138,1980,UTA,Ron Boone,33,75,2286,12.5
8139,1980,LAL,Michael Cooper,23,82,1973,12.5
8140,1980,POR,T.R. Dunn,24,82,1841,12.5
8141,1981,MIL,Brian Winters,28,69,1771,12.5
8142,1981,KCK,Leon Douglas,26,79,1356,12.5
8143,1981,LAL,Mark Landsberger,25,69,1086,12.5
8144,1981,CLE,Dave Robisch,31,11,372,12.5
8145,1982,PHI,Lionel Hollins,28,81,2257,12.5
8146,1982,PHO,Rich Kelley,28,81,1892,12.5
8147,1982,CLE,Bob Wilkerson,27,65,1805,12.5
8148,1982,CLE,Scott Wedman,29,54,1638,12.5
8149,1982,BOS,Terry Duerod,25,21,146,12.5
8150,1983,DAL,Kurt Nimphius,24,81,1515,12.5
8151,1984,MIL,Alton Lister,25,82,1955,12.5
8152,1984,CHI,Ronnie Lester,25,43,687,12.5
8153,1985,LAC,Michael Cage,23,75,1610,12.5
8154,1985,POR,Steve Colter,22,78,1462,12.5
8155,1985,LAL,Mitch Kupchak,30,58,716,12.5
8156,1986,BOS,Scott Wedman,33,79,1402,12.5
8157,1986,SAC,Carl Henry,25,28,149,12.5
8158,1986,WSB,Freeman Williams,29,9,110,12.5
8159,1987,WSB,Darwin Cook,28,82,1420,12.5
8160,1987,DEN,Mark Alarie,23,64,1110,12.5
8161,1987,LAC,Earl Cureton,29,35,868,12.5
8162,1988,CLE,Craig Ehlo,26,79,1709,12.5
8163,1988,PHI,Gerald Henderson,32,69,1436,12.5
8164,1989,IND,Scott Skiles,24,80,1571,12.5
8165,1989,LAL,Tony Campbell,26,63,787,12.5
8166,1989,NYK,Pete Myers,25,29,230,12.5
8167,1990,SAS,Sean Elliott,21,81,2032,12.5
8168,1990,CHI,Craig Hodges,29,63,1055,12.5
8169,1990,NYK,Kiki Vandeweghe,31,22,563,12.5
8170,1991,UTA,Thurl Bailey,29,82,2486,12.5
8171,1991,SEA,Dave Corzine,34,28,147,12.5
8172,1992,MIA,Steve Smith,22,61,1806,12.5
8173,1992,WSB,A.J. English,24,81,1665,12.5
8174,1992,PHO,Mark West,31,82,1436,12.5
8175,1992,ORL,Sean Higgins,23,32,580,12.5
8176,1993,DEN,Marcus Liberty,24,78,1585,12.5
8177,1993,CHH,Kenny Gattison,28,75,1475,12.5
8178,1993,SAC,Rod Higgins,33,69,1425,12.5
8179,1993,SAS,Sidney Green,32,15,202,12.5
8180,1993,NJN,Dwayne Schintzius,24,5,35,12.5
8181,1994,HOU,Vernon Maxwell,28,75,2571,12.5
8182,1994,LAC,Henry James,28,12,75,12.5
8183,1995,MIA,Bimbo Coles,26,68,2207,12.5
8184,1995,BOS,Derek Strong,26,70,1344,12.5
8185,1995,UTA,Tom Chambers,35,81,1240,12.5
8186,1995,DET,Mark Macon,25,55,721,12.5
8187,1995,IND,Duane Ferrell,29,56,607,12.5
8188,1996,HOU,Kenny Smith,30,68,1617,12.5
8189,1996,WSB,Ledell Eackles,29,55,1238,12.5
8190,1996,HOU,Pete Chilcutt,27,74,651,12.5
8191,1997,LAC,Lorenzen Wright,21,77,1936,12.5
8192,1997,GSW,Andrew DeClercq,23,71,1065,12.5
8193,1997,SEA,Eric Snow,23,67,775,12.5
8194,1997,DEN,Kenny Smith,31,33,654,12.5
8195,1997,TOR,Zan Tabak,26,13,218,12.5
8196,1997,POR,Aleksandar Djordjevic,29,8,61,12.5
8197,1998,LAL,Rick Fox,28,82,2709,12.5
8198,1998,DAL,Hubert Davis,27,81,2378,12.5
8199,1998,CHH,Bobby Phills,28,62,1887,12.5
8200,1998,UTA,Greg Ostertag,24,63,1288,12.5
8201,1998,PHI,Eric Snow,24,47,844,12.5
8202,1998,PHI,Benoit Benjamin,33,14,197,12.5
8203,1998,SEA,James Cotton,22,9,33,12.5
8204,1999,SEA,Vin Baker,27,34,1162,12.5
8205,1999,DET,Don Reid,25,47,935,12.5
8206,1999,DAL,A.C. Green,35,50,924,12.5
8207,1999,SAS,Jaren Jackson,31,47,861,12.5
8208,2000,TOR,Muggsy Bogues,35,80,1731,12.5
8209,2000,DET,John Crotty,30,69,937,12.5
8210,2000,LAC,Eric Murdock,31,40,693,12.5
8211,2000,CHI,John Starks,34,4,82,12.5
8212,2001,DEN,James Posey,24,82,2255,12.5
8213,2001,IND,Jeff Foster,24,71,1152,12.5
8214,2001,LAL,Ron Harper,37,47,1139,12.5
8215,2001,LAC,Cherokee Parks,28,52,876,12.5
8216,2001,MIN,Dean Garrett,34,70,831,12.5
8217,2002,GSW,Adonal Foyle,26,79,1485,12.5
8218,2002,CHI,Eddie Robinson,25,29,653,12.5
8219,2003,SEA,Predrag Drobnjak,27,82,1984,12.5
8220,2003,DEN,Donnell Harvey,22,77,1613,12.5
8221,2003,LAC,Quentin Richardson,22,59,1368,12.5
8222,2003,GSW,Mike Dunleavy,22,82,1305,12.5
8223,2003,SAS,Kevin Willis,40,71,840,12.5
8224,2003,DEN,Shammond Williams,27,27,712,12.5
8225,2003,SAC,Gerald Wallace,20,47,571,12.5
8226,2003,LAC,Chris Wilcox,20,46,479,12.5
8227,2003,PHI,Monty Williams,31,21,276,12.5
8228,2004,ATL,Dion Glover,25,55,1465,12.5
8229,2004,MEM,Jake Tsakalidis,24,40,533,12.5
8230,2004,MIN,Troy Hudson,27,29,503,12.5
8231,2005,BOS,Mark Blount,29,82,2130,12.5
8232,2005,POR,Nick Van Exel,33,53,1619,12.5
8233,2005,TOR,Milt Palacio,26,80,1533,12.5
8234,2005,DEN,Eduardo Najera,28,26,575,12.5
8235,2005,NYK,Allan Houston,33,20,532,12.5
8236,2005,NJN,Zoran Planinic,22,43,515,12.5
8237,2006,GSW,Mike Dunleavy,25,81,2578,12.5
8238,2006,HOU,Juwan Howard,32,80,2537,12.5
8239,2006,POR,Darius Miles,24,40,1286,12.5
8240,2006,ATL,Salim Stoudamire,23,61,1236,12.5
8241,2006,NJN,Scott Padgett,29,62,718,12.5
8242,2006,DET,Carlos Arroyo,26,50,600,12.5
8243,2006,HOU,Derek Anderson,31,20,582,12.5
8244,2007,LAC,Cuttino Mobley,31,78,2841,12.5
8245,2007,TOR,Luke Jackson,25,10,122,12.5
8246,2007,ATL,Esteban Batista,23,13,81,12.5
8247,2008,CLE,Drew Gooden,26,51,1564,12.5
8248,2008,LAC,Dan Dickau,29,67,1040,12.5
8249,2008,LAC,Andre Barrett,25,4,25,12.5
8250,2009,MIN,Ryan Gomes,26,82,2614,12.5
8251,2009,NOH,Peja Stojakovic,31,61,2089,12.5
8252,2009,POR,Sergio Rodriguez,22,80,1225,12.5
8253,2009,OKC,Thabo Sefolosha,24,23,718,12.5
8254,2009,CLE,J.J. Hickson,20,62,705,12.5
8255,2009,TOR,Will Solomon,30,39,544,12.5
8256,2009,PHO,Boris Diaw,26,22,538,12.5
8257,2009,MIL,Keith Bogans,28,29,485,12.5
8258,2009,IND,Josh McRoberts,21,33,279,12.5
8259,2009,NYK,Jerome James,33,2,10,12.5
8260,2010,POR,Martell Webster,23,82,2005,12.5
8261,2010,TOR,DeMar DeRozan,20,77,1664,12.5
8262,2010,CHA,Tyson Chandler,27,51,1163,12.5
8263,2011,MEM,Sam Young,25,78,1577,12.5
8264,2011,OKC,Nenad Krstic,27,47,1018,12.5
8265,2012,CHI,Jimmy Butler,22,42,359,12.5
8266,2012,NJN,Armon Johnson,22,8,119,12.5
8267,2013,LAL,Metta World Peace,33,75,2530,12.5
8268,2013,ORL,Maurice Harkless,19,76,1974,12.5
8269,2013,DET,Tayshaun Prince,32,45,1457,12.5
8270,2013,PHI,Damien Wilkins,33,61,1095,12.5
8271,2014,MIL,Khris Middleton,22,82,2460,12.5
8272,2014,MEM,Mike Miller,33,82,1707,12.5
8273,2014,BOS,Jerryd Bayless,25,41,1036,12.5
8274,2014,WAS,Kevin Seraphin,24,53,578,12.5
8275,2014,ORL,Dewayne Dedmon,24,16,234,12.5
8276,2015,PHO,P.J. Tucker,29,78,2383,12.5
8277,2015,SAC,Ray McCallum,23,68,1436,12.5
8278,2015,WAS,Kevin Seraphin,25,79,1235,12.5
8279,2015,NYK,Lou Amundson,32,41,858,12.5
8280,2016,MIL,Miles Plumlee,27,7,55,12.5
8281,1978,WSB,Tom Henderson,26,75,2315,12.6
8282,1978,PHI,Joe Bryant,23,81,1236,12.6
8283,1978,LAL,Dave Robisch,28,55,679,12.6
8284,1979,PHI,Maurice Cheeks,22,82,2409,12.6
8285,1979,CHI,Mark Landsberger,23,80,1959,12.6
8286,1979,ATL,Tom McMillen,26,82,1392,12.6
8287,1979,PHO,Mike Bratz,23,77,1297,12.6
8288,1979,PHO,Gar Heard,30,63,1213,12.6
8289,1979,LAL,Kenny Carr,23,72,1149,12.6
8290,1979,IND,Brad Davis,23,22,233,12.6
8291,1980,WSB,Lawrence Boston,23,13,125,12.6
8292,1980,NJN,Ralph Simpson,30,8,81,12.6
8293,1981,NJN,Mike O'Koren,22,79,2473,12.6
8294,1981,WSB,Wes Matthews,21,45,1161,12.6
8295,1982,DAL,Allan Bristow,30,82,2035,12.6
8296,1982,IND,Mike Bantom,30,39,1037,12.6
8297,1982,GSW,Sonny Parker,26,71,899,12.6
8298,1982,ATL,Wes Matthews,22,47,837,12.6
8299,1983,CLE,Geoff Huston,25,80,2716,12.6
8300,1983,MIL,Dave Cowens,34,40,1014,12.6
